BodyID,X,Y,Z,VX,VY,VZ
0,0.131024,0.43818,0.330602,0.14476,3.6638,-9.07147
1,9.665,-11.1148,-11.9458,7.4383,-10.2398,-11.0091
2,0.371923,-0.00721326,0.0125931,5.45177,-19.4004,-7.59998
3,-0.175552,0.921378,0.195717,14.1082,-25.6972,-5.63752
4,0.139594,-0.0353565,0.0515314,15.564,-26.0888,2.93609
5,10.0715,-11.1845,-12.3239,7.07165,-6.55483,-11.9159
6,2.35508,-3.22348,-0.140237,0.634524,-1.35876,-2.52771
7,8.89589,-9.35578,-10.1357,7.17882,-7.01659,-8.17032
8,-0.624993,0.496828,2.34904,1.70679,0.816473,-6.59907
9,-0.153784,0.264123,0.252237,2.37006,-9.77899,-3.03399
10,0.198644,0.224053,-0.0299565,11.2727,-27.3823,-6.54905
11,-0.394239,0.386928,0.332192,1.98404,-12.0858,-8.73013
12,-0.0591354,0.316341,0.263624,-7.99474,1.62578,-3.68738
13,-0.418815,0.305732,0.330305,5.2032,2.58032,4.89722
14,0.266237,0.236539,0.225476,3.45601,-1.09062,2.21739
15,0.144099,0.051058,-0.103748,17.7848,-15.3868,3.48078
16,0.0562406,0.118893,0.0283149,-26.3344,13.7314,19.69
17,0.522072,-0.144843,0.374338,11.189,-12.3952,-6.84181
18,-0.012015,0.493857,0.204137,13.4139,12.9308,-13.0086
19,0.152901,0.227378,-0.0070477,3.29009,-1.41573,-4.66393
20,0.10825,0.267979,0.153315,6.04452,7.09965,3.47246
21,0.0629339,0.415531,0.118084,-5.80964,22.3368,-1.57883
22,-0.499163,0.96991,-0.198808,-7.38847,27.1279,-5.77385
23,-0.142458,0.624965,0.109603,2.09061,1.99252,5.90081
24,0.0699191,0.101559,0.0652938,5.32718,-6.41198,-6.85171
25,-0.129051,0.673167,0.498008,8.97827,4.78883,2.60296
26,0.182192,-0.118731,0.434527,13.6394,-7.67511,5.89407
27,0.301016,0.20581,-0.161537,0.392708,0.520372,-7.43665
28,-0.0330867,0.149331,0.0513361,-6.41233,2.87361,4.5125
29,-0.0430636,0.40695,0.235176,-18.313,8.43182,14.7115
30,-0.110537,0.47835,0.0174687,1.43534,5.61648,-1.14418
31,0.0582922,0.1562,0.053714,2.00395,-4.70335,-3.01114
32,6.76217,6.38493,5.70786,2.02643,1.84295,1.81952
33,-0.0574535,0.305677,0.110114,-23.4742,-4.62047,27.7597
34,-1.66453,-2.16293,-1.48548,9.38719,10.9138,6.57324
35,0.120794,0.409987,0.404937,-1.79759,2.7498,7.01566
36,0.103112,0.311709,0.0262346,-16.4884,14.3591,26.1707
37,0.32737,0.118458,-0.214026,-7.69272,7.94408,-6.5305
38,0.600229,-0.282402,-0.572228,-5.30648,7.21938,8.67975
39,0.0416413,0.212424,0.257284,0.898237,8.56538,6.87061
40,-0.362299,0.770149,-0.00983796,-17.085,20.9325,5.92492
41,-0.0316446,0.384277,0.164607,0.829016,-9.44395,-3.58188
42,0.621777,-0.0723985,0.35474,5.19345,-5.25923,-0.781549
43,-0.204183,0.245101,0.0291071,8.35083,-8.53775,-6.21961
44,-0.563092,0.979601,0.472443,2.09801,-0.749315,1.46777
45,0.140441,-0.0545885,0.212173,21.5639,-23.8585,-10.5804
46,-0.0880891,0.288561,0.1953,-4.29323,-0.131501,0.0470055
47,0.00632532,0.311846,0.163577,-20.2982,12.758,8.69641
48,0.017469,-0.170166,0.190768,-3.52451,7.15163,-0.462102
49,0.0584346,0.305614,0.298667,-24.4866,32.438,-0.178678
50,-1.37311,1.80695,1.34985,-17.6844,11.4799,6.90838
51,-0.046184,0.308699,0.19558,-0.318838,6.25029,5.64418
52,-0.290017,0.0536283,0.0885606,-3.51801,-3.94485,-9.93978
53,-0.0553341,0.475613,0.499457,-5.77702,2.14175,-4.03303
54,-1.02489,0.117662,0.34321,12.4648,7.9212,-4.92423
55,0.206263,-0.356084,0.186136,5.69232,24.7653,-8.04661
56,-0.453151,0.783576,0.136116,-3.77807,-2.07223,-2.9311
57,1.26688,0.520129,0.789783,4.74812,0.414352,5.99499
58,-0.590701,0.091066,0.547401,1.23099,0.161143,-5.61455
59,-0.159352,0.429103,0.330925,-13.6996,2.02906,12.808
60,-0.0905236,0.407546,0.248215,5.64047,4.02607,9.4925
61,-0.196791,0.501613,0.244384,-9.83183,8.76691,-7.72625
62,0.173239,0.130507,-0.0633988,21.016,-13.9816,-9.39976
63,-0.913241,1.17018,1.29608,10.9873,-5.48311,3.34087
64,0.154014,0.292707,0.24205,11.698,-7.85061,0.453039
65,-0.0847837,0.30768,0.260979,1.52158,-2.18013,16.3584
66,-0.960476,1.04543,0.100735,-8.00605,6.74838,4.3476
67,0.280365,-0.373332,0.135643,3.67099,-16.3634,-8.9928
68,0.945273,0.326769,-0.0385926,-14.3435,-5.69251,6.82314
69,0.18208,0.295592,0.268948,11.8477,-12.6855,-4.50538
70,-7.42013,-7.26852,-8.18456,-4.50229,-4.06484,-4.88096
71,1.21503,-1.23365,-1.04996,-9.43712,8.41915,12.3845
72,-0.117813,0.359617,0.306455,-9.79681,0.198878,-2.15889
73,0.0610039,0.110499,-0.045826,18.3514,-27.1299,-6.52857
74,-0.0651212,0.695632,0.889921,5.40001,-14.9549,-19.6347
75,0.397547,-0.173179,-0.451139,-4.24131,5.41683,9.57869
76,0.0266575,0.30996,0.182454,4.38983,2.58859,1.09582
77,10.1967,10.052,-10.8432,9.03313,8.8142,-9.08881
78,-0.163587,0.232447,0.241471,28.1362,-3.7781,-19.937
79,0.36755,-0.100052,-0.472946,15.1915,-10.4221,-13.2147
80,0.0637831,-0.0102705,0.155375,7.44589,-24.2112,0.028911
81,-0.984058,-0.353839,3.15843,-2.82736,1.0435,15.8426
82,0.380866,0.283178,-0.143188,-8.47859,-0.393854,11.8248
83,0.800112,-0.700995,-0.662301,8.43441,-3.11883,-1.80369
84,0.170651,0.506351,0.123071,-10.0686,2.54661,4.74695
85,0.740736,-0.312172,-0.327369,-12.7532,-6.96574,-3.18292
86,-0.0467678,0.421928,0.253672,-6.02489,9.61911,-1.97889
87,0.191295,0.100638,0.163562,22.0937,-21.3116,-29.8975
88,-0.225447,0.784582,0.358515,11.9311,-1.54225,-4.16218
89,-0.286473,0.752464,0.326467,22.2754,-2.18867,-1.41069
90,-0.218301,0.207753,0.187617,-0.464931,-0.318622,2.04542
91,0.038033,0.382807,0.220335,0.803052,-13.4862,2.80501
92,-0.0896454,0.302487,0.155821,-2.40947,3.63378,4.10635
93,-0.0731129,0.286438,0.171248,-10.887,12.4244,21.9916
94,-10.1356,-11.3993,-11.1349,-6.95358,-8.62011,-9.78158
95,-0.474756,0.738589,0.203059,-15.065,17.4646,-14.8126
96,-5.2134,-4.57876,-5.67614,0.776866,-1.47811,0.116309
97,0.444198,-0.0146674,0.151994,-22.5875,-2.74137,-0.164531
98,-0.910385,0.841154,0.115334,31.8938,-13.1078,0.584331
99,0.0249784,0.304405,0.232613,-2.4466,-2.79721,11.834
100,-0.0535232,0.172725,0.282465,18.791,22.9191,-28.5405
101,-0.018211,0.329438,0.063993,9.63008,0.506952,-12.0144
102,-0.00650457,0.287736,0.17025,2.71099,1.60842,4.75183
103,-0.206957,0.353313,0.288654,11.8506,-0.413697,-4.3635
104,-0.0861771,0.377268,0.0753438,8.60656,6.18549,0.423061
105,-3.8924,2.85284,0.993047,-1.11771,-0.780938,5.03161
106,-0.405569,0.157259,0.559044,1.04997,8.33674,-19.8533
107,-0.0781637,0.450131,0.313851,-18.8195,14.2537,-5.5912
108,-1.27817,0.774951,-0.347397,-7.82383,10.37,-1.53165
109,-0.128176,0.420407,0.187188,-12.5717,-4.50857,-14.7401
110,-0.269619,-0.145553,0.0641505,2.69385,2.2636,-5.55643
111,-0.23005,0.43548,0.181337,-33.9104,31.5113,8.08681
112,0.125595,0.156922,0.23059,29.7981,-29.9797,-22.8902
113,-2.27812,2.35842,2.5907,8.5581,-7.21557,-8.79272
114,-9.25455,-10.5695,-11.3423,-8.34999,-8.61743,-9.6352
115,0.0726747,0.279267,0.12037,-8.15625,-9.93016,-21.0924
116,-0.250676,1.02489,0.0387356,17.5053,-14.93,-1.72333
117,-12.7347,-10.7064,11.8589,-10.7947,-9.24757,9.61924
118,-0.192962,0.354935,0.40279,-1.74091,-3.34198,7.62854
119,0.18447,-0.137959,-0.220079,22.8444,-13.1825,-2.87586
120,-0.216259,0.483506,0.249954,-14.8554,-11.2467,-12.1108
121,0.481251,-0.664691,0.235942,4.59708,-4.756,-6.63599
122,0.0770725,0.271521,0.392063,-4.40494,12.2597,-1.05873
123,-0.139059,0.475453,0.188469,-10.1674,6.55459,-6.50761
124,-0.0410051,0.328177,0.150893,-0.984503,-10.9083,-0.681028
125,-8.89793,9.59014,-8.13903,-5.47481,6.35532,-4.87228
126,-0.216051,0.468578,0.316468,11.8268,-18.6893,-13.9091
127,-0.333222,0.812754,0.888563,-7.56189,-5.44343,-12.8602
128,0.243863,-0.0189235,0.0914143,3.19991,17.6615,0.916471
129,-9.72499,10.5276,-8.16378,-5.35748,7.17699,-5.45983
130,-0.976465,1.52441,0.639555,-8.81009,16.0034,7.36886
131,1.36786,0.634858,-1.39769,-6.66532,3.29508,9.70611
132,-0.0729272,0.274276,0.117318,2.69454,-3.11326,-3.19957
133,-8.64571,-10.7509,-9.7928,-7.09658,-8.81058,-8.18835
134,-0.292081,-0.0725205,0.399856,-6.88505,-20.5489,14.7908
135,-0.0248399,0.300999,0.334045,9.10009,-22.4388,-1.28554
136,-0.237751,0.538511,0.389692,4.31606,-3.32156,-1.03446
137,0.715833,-0.458282,0.0880049,-18.0811,9.68087,7.39293
138,-0.0688067,0.454196,0.2841,9.00039,-6.89964,-7.19427
139,-0.0739519,0.193135,0.267991,20.1049,-15.6003,-9.22473
140,-0.0863851,0.347998,0.213503,9.5048,-3.83867,8.96866
141,0.311563,0.312493,-0.0281381,13.0599,-6.05771,-2.10503
142,-0.0587079,0.449395,0.372712,4.04898,-6.01502,-2.39687
143,-0.0340984,0.331276,0.199359,-1.11725,-1.96364,0.335965
144,-0.676648,0.729224,0.593279,-11.3523,24.1101,5.54562
145,-0.0805466,1.13414,0.0708446,4.09212,-10.0317,3.87883
146,0.069444,0.329496,0.543389,9.09438,-11.4683,6.45713
147,1.33164,-1.36813,0.975468,2.18074,3.47065,5.54559
148,-0.239713,0.622474,0.525248,11.0226,-18.9147,-22.5472
149,0.183229,-0.0127306,-0.093769,21.3194,7.00238,-15.69
150,-0.0359653,0.228649,0.188397,-15.3522,-8.83435,-7.7528
151,0.0755784,0.00477958,0.156395,7.93272,-0.103771,-22.3334
152,3.55996,4.61564,2.9693,-4.20564,-1.60873,-4.09648
